Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VimeoQA,Chrome 94.0.4606.81,,,2021-10-13 16:54:09,2021-10-13 16:55:19,1m - 10.170s,FAILED
,,,,,,,
Test Cases/User/UserActions,Chrome 94.0.4606.81,,,2021-10-13 16:54:09,2021-10-13 16:54:17,7.327s,PASSED
"response = sendRequest(findTestObject(""User/vimeoComment""))",Chrome 94.0.4606.81,,,2021-10-13 16:54:11,2021-10-13 16:54:17,5.111s,PASSED
body = response.getResponseBodyContent(),Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.026s,PASSED
println(body),Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.006s,PASSED
parser = new groovy.json.JsonSlurper(),Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.025s,PASSED
responseAfterParsing = parser.parseText(body),Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.026s,PASSED
link = link,Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.027s,PASSED
"values = link.split(""#"")",Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.004s,PASSED
comment_id = values[1],Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.009s,PASSED
println(comment_id),Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.000s,PASSED
comment_text = text,Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.000s,PASSED
"verifyResponseStatusCode(response, 201)",Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:54:17,0.032s,PASSED
,,,,,,,
Test Cases/commentCheck/commentVerify,Chrome 94.0.4606.81,,,2021-10-13 16:54:17,2021-10-13 16:55:08,51.041s,FAILED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 16:54:18,2021-10-13 16:54:21,3.064s,PASSED
"navigateToUrl(""https://vimeo.com/"")",Chrome 94.0.4606.81,,,2021-10-13 16:54:21,2021-10-13 16:54:22,0.935s,PASSED
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/a_Log in""))",Chrome 94.0.4606.81,,,2021-10-13 16:54:22,2021-10-13 16:54:25,2.596s,PASSED
"setText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_email""), ""ronyland@post.bgu.ac.il"")",Chrome 94.0.4606.81,,,2021-10-13 16:54:25,2021-10-13 16:54:27,1.774s,PASSED
"setEncryptedText(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_Log in to Vimeo_password""), ""3JtwHyzuAJdJUxaSbWvCLQ=="")",Chrome 94.0.4606.81,,,2021-10-13 16:54:27,2021-10-13 16:54:27,0.687s,PASSED
"click(findTestObject(""Object Repository/recorded objects2.1/Page_Vimeo  The worlds only all-in-one vide_2822c6/input_A security code has been sent to your_7a5454""))",Chrome 94.0.4606.81,,,2021-10-13 16:54:27,2021-10-13 16:54:28,0.572s,PASSED
"navigateToUrl(""https://vimeo.com/"" + video_id)",Chrome 94.0.4606.81,,,2021-10-13 16:54:28,2021-10-13 16:54:31,3.335s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 94.0.4606.81,,,2021-10-13 16:54:31,2021-10-13 16:54:31,0.002s,NOT_RUN
"focus(findTestObject(""check3/pageTitleCapture/div_Menu                                   _11ec99""))",Chrome 94.0.4606.81,,,2021-10-13 16:54:31,2021-10-13 16:54:33,1.356s,PASSED
"comment = getText(findTestObject(""dynamicComment"", [""comment_id"":comment_id]))",Chrome 94.0.4606.81,,,2021-10-13 16:54:33,2021-10-13 16:55:08,35.244s,FAILED
,,,,,,,
Test Cases/LikesViews/LikeViews,Chrome 94.0.4606.81,,,2021-10-13 16:55:08,2021-10-13 16:55:19,11.088s,PASSED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 16:55:09,2021-10-13 16:55:11,2.011s,PASSED
"navigateToUrl(""https://vimeo.com/"" + video_id2)",Chrome 94.0.4606.81,,,2021-10-13 16:55:11,2021-10-13 16:55:14,2.455s,PASSED
"focus(findTestObject(""check3/pageTitleCapture/div_Menu                                   _11ec99""))",Chrome 94.0.4606.81,,,2021-10-13 16:55:14,2021-10-13 16:55:16,2.215s,PASSED
"temp = getText(findTestObject(""Object Repository/objectLikesViews/Page_YONA on Vimeo/span_3,530""))",Chrome 94.0.4606.81,,,2021-10-13 16:55:16,2021-10-13 16:55:18,1.764s,PASSED
"temp1 = getText(findTestObject(""Object Repository/objectLikesViews/Page_YONA on Vimeo/span_202K""))",Chrome 94.0.4606.81,,,2021-10-13 16:55:18,2021-10-13 16:55:18,0.529s,PASSED
likes_number = temp,Chrome 94.0.4606.81,,,2021-10-13 16:55:18,2021-10-13 16:55:18,0.001s,PASSED
views_num = temp1,Chrome 94.0.4606.81,,,2021-10-13 16:55:18,2021-10-13 16:55:18,0.001s,PASSED
println(likes_number),Chrome 94.0.4606.81,,,2021-10-13 16:55:18,2021-10-13 16:55:18,0.005s,PASSED
println(views_num),Chrome 94.0.4606.81,,,2021-10-13 16:55:18,2021-10-13 16:55:18,0.001s,PASSED
closeBrowser(),Chrome 94.0.4606.81,,,2021-10-13 16:55:18,2021-10-13 16:55:19,0.715s,PASSED
